Epochs,Train Score,Train F1,Train Recall,Train Precision,Test Score,Test F1,Test Recall,Test Precision
10,0.9912582178739507,0.1097560975609756,0.05976095617529881,0.6716417910447762,0.98986518787647,0.07826086956521738,0.04225352112676056,0.5294117647058824
20,0.9925994228028788,0.3615702479338843,0.23240371845949534,0.813953488372093,0.9896739650062147,0.1627906976744186,0.09859154929577464,0.4666666666666667
30,0.9929347240351108,0.47037701974865354,0.34794156706507307,0.7257617728531855,0.9891481021130127,0.25573770491803277,0.18309859154929578,0.42391304347826086
40,0.9934736010154838,0.49302325581395356,0.351925630810093,0.8229813664596274,0.9890046849603212,0.21232876712328766,0.14553990610328638,0.3924050632911392
50,0.9938568024237489,0.6098859315589353,0.5325365205843293,0.7135231316725978,0.9887178506549383,0.27607361963190186,0.2112676056338028,0.39823008849557523
60,0.9941561785239561,0.5711775043936731,0.4316069057104914,0.8441558441558441,0.989052490677885,0.21305841924398622,0.14553990610328638,0.3974358974358974
70,0.9943358041840804,0.5932932072226998,0.4581673306772908,0.8414634146341463,0.9895783535710871,0.2585034013605442,0.1784037558685446,0.4691358024691358
80,0.9940364280838732,0.5897858319604613,0.4754316069057105,0.7765726681127982,0.9886700449373745,0.24281150159744405,0.1784037558685446,0.38
90,0.9940843282599063,0.5719237435008666,0.43824701195219123,0.8229426433915212,0.9884788220671192,0.21498371335504884,0.15492957746478872,0.35106382978723405
